Sample,Plant,Day 1,Day 1,Day 1,Day 2,Day 2,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Day 10,Day 10,Day 10,Day 11,Day 11,Day 11
,,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems
A1,Brachiaria,36,14,5,41,17,6,48,21,6,52,24,6,58,36,6,62,38,7,66,39,7,69,39,8,74,41,8,77,41,8,79.6,43,8
A1,Brachiaria,34,16,5,46,19,5,45,23,5,49,25,5,53,35,5,57,37,7,60,38,7,64,38,7,69,34,7,72,34,7,75.4,37,8
A1,Brachiaria,27,16,6,31,18,6,35,21,6,41,24,6,47,36,8,52,16,8,55,17,8,59,17,8,63,19,8,65,19,8,68.7,23,8
A1,Brachiaria,31,18,6,37,2,6,42,21,6,48,25,6,54,16,8,57,18,8,60,19,8,65,19,8,69,21,8,74,21,8,77,25,8
B1,Brachiaria,33,17,5,37,19,5,44,21,7,52,23,8,58,45,8,62,50,8,66,51,10,69,51,10,74,53,10,77,53,10,79.8,57,10
B1,Brachiaria,31,16,6,35,19,6,42,22,6,49,24,8,53,35,8,57,39,7,60,40,7,64,40,7,69,42,7,72,42,7,76.4,48,8
B1,Brachiaria,29,14,5,32,17,5,38,20,5,41,23,6,47,21,7,52,24,7,55,25,8,59,25,8,63,27,8,65,27,8,69.6,32,8
B1,Brachiaria,34,16,5,37,20,5,44,23,5,48,25,6,54,11,7,57,13,7,60,14,7,65,14,7,69,18,7,74,18,7,77.8,24,8
C1,Brachiaria,27,18,5,32,20,6,43,23,6,56,27,7,61,45,8,68,52,9,71,52,9,73,52,9,75,48,9,79,48,9,82.4,52,9
C1,Brachiaria,29,19,4,35,21,5,49,24,5,53,29,5,55,27,5,60,32,6,74,32,6,76,32,6,79,35,6,82,35,6,86.6,39,7
C1,Brachiaria,24,18,4,41,20,4,51,22,4,55,31,6,60,35,6,66,36,6,67,36,7,71,36,7,75,31,7,79,31,7,82.3,37,8
C1,Brachiaria,31,21,4,42,23,5,56,25,5,58,32,5,62,31,6,68,36,7,77,36,8,81,36,8,85,38,8,88,38,8,92.4,42,8
D1,Brachiaria,21,16,5,27,19,5,31,21,5,52,24,6,58,31,6,62,33,6,66,33,6,69,33,6,74,34,6,77,34,6,81.4,37,7
D1,Brachiaria,24,17,4,30,19,4,35,22,4,49,25,5,53,18,5,57,21,5,60,21,6,64,21,4,69,21,4,72,21,4,77.3,25,5
